id,product_id,customer_name,rating,title,comment,verified,created_at
"003158d3-a687-4fce-a0a3-fdeb97430822","2848cc9b-4992-45a8-a8db-b8705ad48558","Jun Suzuki","4","Brilliant for city riding","Frame design is practical. Mounting and dismounting is easy, which matters when stopping frequently in town.","true","""2025-06-17T19:55:21.758Z"""
"6ff65121-96b6-4805-86f8-8cf61b049a3a","2848cc9b-4992-45a8-a8db-b8705ad48558","Emily Morris","5","Love the design","Folding mechanism is brilliant. Takes literally 15 seconds. No fumbling or forcing required - just clicks into place.","true","""2025-09-03T19:55:21.758Z"""
"d1735143-abb8-48d5-9b6b-011421e269b9","2848cc9b-4992-45a8-a8db-b8705ad48558","Diego Fernandez","5","Smooth and powerful","Perfect for my train commute. Folds small enough that it doesn't bother other passengers during rush hour.","true","""2025-09-05T19:55:21.758Z"""
"a96902cf-c416-45e7-9a7c-26350df7a21e","2848cc9b-4992-45a8-a8db-b8705ad48558","Hassan Al-Mansouri","4","Absolutely brilliant purchase","Love the removable battery. I can charge it at my desk whilst at work. So much more convenient than wheeling the whole bike inside.","true","""2025-10-17T19:55:21.758Z"""
"f97b38a9-3940-4008-a1be-01ccb1502e6e","2848cc9b-4992-45a8-a8db-b8705ad48558","Samuel Bennett","4","Happy commuter here","Delivery was impressively quick. Arrived within two days, well packaged. Setup took about 20 minutes following the clear instructions provided.","true","""2025-06-27T19:55:21.758Z"""
"b709a2ed-2842-4bcf-909c-841de23be708","2848cc9b-4992-45a8-a8db-b8705ad48558","Nia Okafor","5","Excellent starter bike","Arrived perfectly adjusted. Brakes, gears, everything worked perfectly straight out of the box. Very impressed with quality control.","false","""2025-10-11T19:55:21.758Z"""
"8bb6b36c-8dcf-4053-9b45-774f034c22a2","2848cc9b-4992-45a8-a8db-b8705ad48558","Tariq Al-Mansouri","2","Couldn't be happier","Charges faster than expected. From empty to full in about 4-5 hours. Perfect to charge overnight.","true","""2025-07-06T19:55:21.758Z"""
"716bb221-788d-4348-bcf0-189cecb87957","2848cc9b-4992-45a8-a8db-b8705ad48558","Evan Lloyd","5","Excellent build quality","The hinges feel solid with no play. Despite folding, it rides like a regular bike - no flex or wobble whatsoever.","true","""2025-11-18T19:55:21.758Z"""
"181f346d-a53b-4db3-a6f2-31bb5fa912a1","2848cc9b-4992-45a8-a8db-b8705ad48558","Aryan Rao","5","Exceeded all expectations","Eco mode extends the range impressively. Easily get 50+ miles if you're not rushing. Perfect for weekend rides.","true","""2025-06-11T19:55:21.758Z"""
"2cacbb28-c33c-4f64-87d1-429367a4f46c","2848cc9b-4992-45a8-a8db-b8705ad48558","Liam MacLeod","5","Comfortable ride","Folding mechanism is brilliant. Takes literally 15 seconds. No fumbling or forcing required - just clicks into place.","true","""2025-08-04T19:55:21.758Z"""
